Taxon_FA,Genera,PhAname,Endemicity,non.endemic,SEN,Taxon,Familie,SIN,FAN,FHN,ZWN,WSN,ZDSF,T,Tv,K,Kv,L,Lv,F,Fv,W,R,Rv,N,Nv,S,M,H,Hv,D,Dv,LF,BD,WT,RO,KS,DA,VA,FS,MA,BZ,BZ.S,BZ.D,BS,MV,SU,DG,GI,GV,LR,EG,AE,EM,VE,CH,JU,JU1,JU2,MP,MP1,MP2,NA.,NA1,NA2,WA,EA,SA,SA1,SA2,SA3,PS,PS1,PS1_txt,PS2,PS2_txt,PS3,PS3_txt,BL,SL,TB,
Euphorbia_cyparissias,Euphorbia,Euphorbia cyparissias,0,1,2280,Euphorbia cyparissias,Euphorbiaceae,159800,80.3.39,1321,1960,978,ZDSF,3,II,4,I,3,II,2,I,1,4,II,2,I,,m,3,I,3,I,h,t,3,Rh,crs,Au My,Au,mo,p9,04-juil,4 5 6 7,4,en my au am?,2,4,2,gg h,B6,6.2 6.7 9.1 9.3,6,I,2,*,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,10.21 9.1 14.811,10.21,Seslerietalia caeruleae,9.1,Festuco-Brometea,14.811,Quercion pubescenti-sessiliflorae,,,,
Fallopia_convolvulus,Fallopia,Fallopia convolvulus,0,1,2356,Fallopia convolvulus,Polygonaceae,165200,39.2.1,461,893,177,ZDSF,3.5,I,3,I,4,I,2.5,I,1,3,I,4,I,,m,3,I,3,I,t.li,s,3,Wv,crr,En Dy,Kv,zw,p1,07-sept,7 8 9,3,au,-,4,2,e,C1,2.1 2.2 2.5 2.7,7,A,4,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,2.3,NA,,NA,,2.3,Stellarietea mediae,,,,
Medicago_sativa,Medicago,Medicago sativa,0,1,3622,Medicago sativa,Fabaceae,256000,64.32.2,1109,1756,871,ZDSF,4,I,4,I,4,I,2,I,1,4,I,3,I,,,3,I,3,I,h,t,3,Wd,ccs,En Dy,Au,zw,p6,06-ao_t,6 7 8,3,me le,3,4,2,e,C2b,2.1 2.2 2.5 6.3,8,A,3,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,5.2,NA,,NA,,5.2,Agropyretea intermedii-repentis,,,H,
Melilotus_officinalis,Melilotus,Melilotus officinalis,0,1,3654,Melilotus officinalis,Fabaceae,257600,64.30.3,1115,1741,866,ZDSF,4.5,I,3,I,4,I,3,I,2,4,I,3,I,,m,3,I,3,I,k-t,s,3,Wv,rrr,Bo At,Sr,zw,,06-oct,6 7 8 9 10,5,me (hm) (my),2,4,2,tg h e,B4a,2.2 2.5 3.5 6.2,7,A,4,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,5.11 11.311,5.11,Onopordetalia acanthii,11.311,Convolvulion sepium,,,,,,
Origanum_vulgare,Origanum,Origanum vulgare,0,1,4025,Origanum vulgare,Lamiaceae,282600,108.24.1,1697,2549,1426,ZDSF,3.5,I,4,I,3,I,2,I,1,4,II,3,I,,m,3,I,3,I,c-h,t,3,Rh,crs,Bo My,Ao Au,ve-di,r10,07-sept,7 8 9,3,,2,4,3,h e,B6,2.6 6.7 7.3 7.4,6,I,2,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,11.11 9.135 14.811,11.11,Origanetalia vulgaris,9.135,Mesobromion,14.811,Quercion pubescenti-sessiliflorae,,,,
Papaver_rhoeas,Papaver,Papaver rhoeas,0,1,4154,Papaver rhoeas,Papaveraceae,291800,22.1.2,226,1223,437,ZDSF,4,I,4,I,4,I,2,II,1,4,I,3,I,ss,,3,I,3,I,t,s w,3,-,rrr,Bo,Kv,zw,p1,05-sept,5 6 7 8 9,5,ca my me,-,4,3,mg h e,C1,2.1 2.2 2.5 2.7,7,A,4,,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,DD,LC,2.3 2.111,2.3,Stellarietea mediae,2.111,Bidention tripartitae,,,,,,
Sinapis_arvensis,Sinapis,Sinapis arvensis,0,1,5667,Sinapis arvensis,Brassicaceae,398000,54.60.1,763,1336,591,ZDSF,4,II,3,I,4,I,3,I,1,4,II,4,I,,,3,I,3,I,t,s w,3,-,crr,Bo En,Kv,zw,p3,05-oct,5 6 7 8 9 10,6,au ca my me le hm ps ph,-,4,2,tg e,C2,2.1 2.2,7,A,4,,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,14.712 2.31 2.34,14.712,Salicion albae,2.31,Papaveretalia rhoeadis,2.34,Sisymbrietalia,,,,
Sonchus_oleraceus,Sonchus,Sonchus oleraceus,0,1,5723,Sonchus oleraceus,Asteraceae,401900,124.88.2,2309,3295,1935,ZDSF,3.5,I,3,I,4,I,3,I,1,4,II,4,I,s,,3,I,3,I,t,s t,3,Wv,crr,Me En,Kv,zw,p2,06-oct,6 7 8 9 10,5,my me (le),-,4,2,e,B6,2.1 2.2 2.5 2.7,7,Ja,4,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,2.3,NA,,NA,,2.3,Stellarietea mediae,,,,
Rubus_idaeus,Rubus,Rubus idaeus,0,1,5110,Rubus idaeus,Rosaceae,354400,63.5.4,1027,1609,672,ZDSF,3,II,3,I,3,II,3,II,2,3,II,4,II,,m,3,II,3,II,d,s,3,Wh,crs,En Dy,Ws,zw,r12,05-juin,5 6,2,au my me ps ve ca hm,1,5,3,e,B6b,2.6 3.3 7.2 9.2,1,I,3,<,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,13.321 14.7 13.3,13.321,Sambuco-Salicion capreae,14.7,Carpino-Fagetea,13.3,Crataego-Prunetea,,,H,
Anthyllis_vulneraria,Anthyllis,Anthyllis vulneraria,0,1,520,Anthyllis vulneraria,Fabaceae,36800,64.36.2.1,1149,1773,912,ZDSF,4,I,2,I,4,I,1.5,I,1,4,II,2,I,,m,3,I,3,I,h-k,t,3,Wv,crs,Me En,Sr,zw,p9,05-juin,5 6,2,,3,2*,2,h e,D2,3.3 6.2 6.7 9.1,6,N,3,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,DD,9.1 14.211,9.1,Festuco-Brometea,14.211,Erico-Pinion,,,,,,
