Taxon_FA,Genera,PhAname,Endemicity,non.endemic,SEN,Taxon,Familie,SIN,FAN,FHN,ZWN,WSN,ZDSF,T,Tv,K,Kv,L,Lv,F,Fv,W,R,Rv,N,Nv,S,M,H,Hv,D,Dv,LF,BD,WT,RO,KS,DA,VA,FS,MA,BZ,BZ.S,BZ.D,BS,MV,SU,DG,GI,GV,LR,EG,AE,EM,VE,CH,JU,JU1,JU2,MP,MP1,MP2,NA.,NA1,NA2,WA,EA,SA,SA1,SA2,SA3,PS,PS1,PS1_txt,PS2,PS2_txt,PS3,PS3_txt,BL,SL,TB,
Equisetum_pratense,Equisetum,Equisetum pratense,0,1,2154,Equisetum pratense,Equisetaceae,151200,4.1.7,16,70,20,ZDSF,2,I,4,I,3,II,4,I,3,3,II,2,I,,,5,II,1,I,g,s,NA,Rs,crs,Me,Au,di mo,,05-juin,5 6,2,,2,,3,tg,B3,5.1 6.7 7.4 9.2,5,I,2,,NT,-,-,-,-,-,-,EN,-,EN,NT,NT,EN,EN,-,-,14.72,NA,,NA,,14.72,Fraxinetalia,,,,
Equisetum_telmateia,Equisetum,Equisetum telmateia,0,1,2157,Equisetum telmateia,Equisetaceae,151500,4.1.9,14,69,22,ZDSF,3.5,I,2,I,3,II,4.5,I,3,4,I,3,I,,m,3,I,1,I,g,s,NA,Rs Sk,crs,Me,Au,di mo,,03-mai,3 4 5,3,,2,,4,tg,B3a,4.1 5.1 6.3 9.2,1,I,2,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,NT,LC,LC,LC,-,-,14.721 14.72102,14.721,Alnion incanae,14.72102,Calamagrostio-Alnetum incanae,,,,,,
Eriophorum_scheuchzeri,Eriophorum,Eriophorum scheuchzeri,0,1,2205,Eriophorum scheuchzeri,Cyperaceae,155500,138.8.5,2474,430,2401,ZDSF,1.5,I,3,I,5,I,5,I,3,2,I,2,I,,,5,I,1,I,g,t,NA,Rs,css,Me,Au,zw,,06-ao_t,6 7 8,3,an,1,,4,e,B5,1.3 1.4 4.1 5.1,2,I,1,=,LC,-,-,-,-,-,-,LC,LC,LC,LC,LC,LC,LC,LC,LC,7.221,7.221,Caricion fuscae,NA,,,,,,,
Eupatorium_cannabinum,Eupatorium,Eupatorium cannabinum,0,1,2261,Eupatorium cannabinum,Asteraceae,159300,124.1.1,2025,3034,1719,ZDSF,3.5,I,3,I,3,II,4,I,3,4,I,4,I,s,m,3,I,1,I,h,s,NA,Rh,ccr,Me Dy,Au,zw,d,07-sept,7 8 9,3,ps (my) (me) (ca),2,,3,tg h,B6,1.4 2.5 4.2 7.2,5,I,2,<,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,11.311 11.321 11.412,11.311,Convolvulion sepium,11.321,Filipendulo-Petasition,11.412,Atropion,,,,
Euphorbia_chamaesyce,Euphorbia,Euphorbia chamaesyce,0,1,2264,Euphorbia chamaesyce,Euphorbiaceae,159700,80.3.3,1312,1946,-,ZDSF,5,I,2,I,5,I,2,I,3,3,I,3,I,,,3,I,1,I,t,s,NA,-,rrr,Au My?,Kv,mo,,06-sept,6 7 8 9,4,my,-,,3,gg,B6a,2.1 2.2 2.7,7,A/N,5,<,DD,-,-,-,-,-,-,DD,-,DD,-,-,DD,DD,-,-,2.331,NA,,NA,,2.331,Eragrostion,,,D,
Euphorbia_epithymoides,Euphorbia,Euphorbia epithymoides,0,1,2277,Euphorbia epithymoides,Euphorbiaceae,-,80.3.11,-,-,-,,4.5,I,4,I,4,I,4,I,2,5,I,3,I,,m,3,I,1,II,g-h,s,NA,Rh,css,Au My,Sr,mo,,04-juil,4 5 6 7,4,my,-,,2,gg,D1b,6.2 6.7 7.4 9.3,-,I/N,1,,,,,,,,,,,,,,,,,,14.8,NA,,NA,,14.8,Quercetea pubescentis,k l m,,,
Euphorbia_graminifolia,Euphorbia,Euphorbia graminifolia,0,1,2282,Euphorbia graminifolia,Euphorbiaceae,-,80.3.37,-,-,-,,4,I,3,I,4,II,3.5,II,3,4,I,3,I,,,3,II,1,II,h,s,NA,Rh,crs,Au My,Au,mo,,05-juin,5 6,2,my,1,,2,gg,D1a,1.4 6.3 7.5 9.1,-,I,3,=,,,,,,,,,,,,,,,,,14.2112?,NA,,NA,,14.2112?,Molinio-Pinenion?,,,,
Euphorbia_humifusa,Euphorbia,Euphorbia humifusa,0,1,2265,Euphorbia humifusa,Euphorbiaceae,160300,80.323,1310,1947,963,ZDSF,5,I,3,I,5,I,3,I,3,4,I,3,I,,,3,I,1,I,t,s,NA,-,rrr,Au My?,Kv,mo,,06-sept,6 7 8 9,4,my,-,,3,gg,A4b,2.1 2.7,7,N,5,<,(NT),(VU),(VU),-,(VU),(VU),(VU),(DD),(DD),(DD),(VU),(EN),(NT),(NT),-,(RE),2.351,NA,,NA,,2.351,Polygonion avicularis,,,,
Euphorbia_palustris,Euphorbia,Euphorbia palustris,0,1,2298,Euphorbia palustris,Euphorbiaceae,160800,80.3.9,1316,1952,965,ZDSF,4.5,I,2,I,3,II,4.5,I,3,4,I,3,I,ss,,5,I,1,I,h,s,NA,Rh,ccs,Au My,Au,mo,,05-juin,5 6,2,my,2,,2,gg,B6,1.3 6.3 7.2 9.2,5,I,2,,VU,EN,EN,-,VU,VU,EN,RE,RE,-,-,-,EN,EN,-,-,11.321,NA,,NA,,11.321,Filipendulo-Petasition,,,,
Euphorbia_prostrata,Euphorbia,Euphorbia prostrata,0,1,2267,Euphorbia prostrata,Euphorbiaceae,161100,80.3.5,1311,1944,-,ZDSF,5,I,2,I,5,I,2,I,2,3,I,3,I,,,3,I,1,I,t,s,NA,-,rrr,Au My?,Kv,mo,p1,06-sept,6 7 8 9,4,my,-,,3,gg,A2a,2.2,7,N,5,=,(VU),(DD),(DD),(DD),(VU),(DD),(VU),(DD),(DD),(DD),(DD),(DD),(EN),(EN),(DD),(DD),2.351,NA,,NA,,2.351,Polygonion avicularis,,,,
Euphorbia_stricta,Euphorbia,Euphorbia stricta,0,1,2302,Euphorbia stricta,Euphorbiaceae,161600,80.3.19,1320,1954,968,ZDSF,4,I,2,I,3,II,3,I,2,4,II,3,I,,,3,I,1,I,h-t,s,NA,Rs,crs,Au My,Kv,mo,,05-sept,5 6 7 8 9,5,my,2,,3,gg,B6,2.3 2.5 2.6 7.2,1,I,2,=,LC,LC,LC,LC,LC,LC,LC,LC,VU,LC,EN,CR,EN,EN,-,-,5.131,NA,,NA,,5.131,Geo-Alliarion,,,,
Euphorbia_virgata,Euphorbia,Euphorbia virgata,0,1,2283,Euphorbia virgata,Euphorbiaceae,161900,80.3.38,1322,1961,979,ZDSF,4.5,I,4,I,4,I,2.5,I,3,4,I,4,I,s,,3,I,1,I,h,s,NA,Rh,crs,Au My,Au,mo,,05-ao_t,5 6 7 8,4,my,1,,2,gg,B6a,2.1 2.5 2.2 6.2,7,I/N,3,=,NT,EN,EN,-,EN,EN,EN,EN,EN,EN,NT,CR,EN,EN,-,-,5.112,NA,,NA,,5.112,Dauco-Melilotion,,,,
Festuca_heteromalla,Festuca,Festuca heteromalla,0,1,2417,Festuca heteromalla,Poaceae,167770,139.1.29,-,-,-,ZDSF,2.5,I,2,I,3,II,3.5,I,2,3,I,4,I,,,3,I,1,I,h,t,NA,Rs,crs,Me,Au Sr,zw,,05-ao_t,5 6 7 8,4,an,3,,2,e,D3,2.3 6.3 7.2 9.1,8,I/N,3,=,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,11.2?,NA,,NA,,11.2?,Molinio-Arrhenatheretea?,c l,,,
Festuca_nigrescens,Festuca,Festuca nigrescens,0,1,2419,Festuca nigrescens,Poaceae,168300,139.1.26,-,345,-,ZDSF,2.5,II,2,I,3,I,2.5,II,2,2,I,3,I,,,5,II,1,I,h,w,NA,Rs,crs,Me,Ho Sr,zw,,06-ao_t,6 7 8,3,an,4,,3,e,D3,6.3 6.4 6.5 7.1,8,I,3,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,11.242 10.412,11.242,Triseto-Polygonion bistortae,10.412,Nardion strictae,,,c k l,,,
Festuca_rivularis,Festuca,Festuca rivularis,0,1,2420,Festuca rivularis,Poaceae,170050,139.1.30,-,-,-,ZDSF,2.5,I,2,I,4,I,4,II,3,2,I,2,I,,,5,I,1,I,h,w,NA,Rs,crs,En,Au Sr,zw,,05-juin,5 6,2,an,3,,2,e,E2b,4.2 5.1,-,I,2,=,,,,,,,,,,,,,,,,,7.111,NA,,NA,,7.111,Cardamino-Montion,,,,
Festuca_trichophylla,Festuca,Festuca trichophylla,0,1,2423,Festuca trichophylla,Poaceae,171500,139.1.28.1,-,-,-,ZDSF,4,I,2,I,4,I,3.5,I,3,3,I,2,I,,,5,I,1,I,h,s,NA,Rs,crs,Me,Au Sr,zw,,05-ao_t,5 6 7 8,4,an,3,,2,e,E1,3.3 4.1 5.1 6.3,2,I,2,,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,11.231,NA,,NA,,11.231,Molinion,c k l,,,
Fimbristylis_annua,Fimbristylis,Fimbristylis annua,0,1,2459,Fimbristylis annua,Cyperaceae,173300,138.10.1,-,438,2410,ZDSF,5,I,2,I,4,I,4.5,I,3,2,I,2,I,,,5,II,1,I,t,s,NA,-,rrr,Me,Kv,zw,,07-ao_t,7 8,2,,-,,1,,B1,1.4 2.5,5,I?,2,,RE,-,-,-,-,-,-,-,-,-,-,-,RE,RE,-,-,2.2,NA,,NA,,2.2,Iso�to-Nanojuncetea,f k m,,,
Galega_officinalis,Galega,Galega officinalis,0,1,2515,Galega officinalis,Fabaceae,176300,64.15.1,1249,1788,-,ZDSF,4.5,I,2,I,3,I,3.5,I,2,4,I,4,I,,,3,I,1,I,h,s,NA,Wv,ccr,Au At,Sr,zw,,06-ao_t,6 7 8,3,me,3,,2,mg h,C2b,2.1 2.2 7.2 9.2,1,N,4,<,VU,-,-,-,VU,-,VU,-,-,-,EN,-,EN,EN,-,-,11.3,NA,,NA,,11.3,Filipendulo-Convolvuletea,,,,
Galium_debile,Galium,Galium debile,0,1,2559,Galium debile,Rubiaceae,-,119.4.7,-,2789,-,,5,I,2,I,3,II,4,I,2,3,I,2,I,,,5,I,1,I,g,w,NA,Rs,css,Hy,Kt,zw,,05-juil,5 6 7,3,,2,,3,,C2c,1.3 1.4 5.1 6.3,-,I,2,#REF!,,,,,,,,,,,,,,,,,11.22,NA,,NA,,11.22,Holoschoenetalia,k m,,,
Galium_elongatum,Galium,Galium elongatum,0,1,2560,Galium elongatum,Rubiaceae,178200,119.4.9,1948,2788,1612,ZDSF,4,I,2,I,3,I,4.5,I,2,3,I,3,I,,,5,I,1,I,g.li,w,NA,Rs,css,Hy,Kt,zw,,05-ao_t,5 6 7 8,4,,1,,3,,C1,1.3 6.3 7.4 9.2,5,I,2,,NT,NT,NT,VU,VU,VU,VU,VU,EN,VU,EN,EN,EN,EN,-,-,6.1,NA,,NA,,6.1,Phragmito-Magnocaricetea,,,,
Galium_parisiense,Galium,Galium parisiense,0,1,2564,Galium parisiense,Rubiaceae,179500,119.4.47,1955,2818,1628,ZDSF,4,I,2,I,4,I,2,I,2,2,I,3,I,,m,3,I,1,I,t,w,NA,-,rrr,Ep,Kv,zw,,06-sept,6 7 8 9,4,,-,,2,,C2,2.2 3.1 6.2 7.3,7,I/A,4,,EN,RE,RE,-,CR,CR,CR,RE,RE,-,EN,-,CR,CR,CR,-,4.2,NA,,NA,,4.2,Tuberarietea guttatae,,,,
Galium_rubioides,Galium,Galium rubioides,0,1,2574,Galium rubioides,Rubiaceae,180000,119.4.3,1944,2784,1607,ZDSF,4.5,I,4,I,3,I,3.5,I,3,4,I,3,I,,,3,I,1,I,g,s,NA,Rs,ccs,Ep,Au,zw,,06-ao_t,6 7 8,3,??,2,,3,,D4,6.3 7.2 7.4 9.2,3,I/N,3,,CR,-,-,-,CR,-,CR,RE,RE,-,-,-,-,-,-,-,11.321,NA,,NA,,11.321,Filipendulo-Petasition,,,,
Galium_spurium,Galium,Galium spurium,0,1,2534,Galium spurium,Rubiaceae,-,119.4.43,-,-,-,,4,II,4,I,3,II,3,I,2,4,I,3,I,,,3,I,1,I,t.li,s,NA,-,crr,En At,Kv,zw,,05-ao_t,5 6 7 8,4,,-,,2,e,D3,2.1,-,Ja,5,0?,,,,,,,,,,,,,,,,,2.3a,NA,,NA,,2.3a,Stellarienea mediae,i l,,,
Galium_trifidum,Galium,Galium trifidum,0,1,2588,Galium trifidum,Rubiaceae,-,119.4.10,-,-,-,,2,I,3,I,4,I,4.5,II,3,2,I,2,I,,,5,I,1,I,h,s,NA,Rs,crs,Ep,Kt Sr,zw,,06-juil,6 7,2,,-,,2,,B5,5.1,-,I,2,=,,,,,,,,,,,,,,,,,14.32,NA,,NA,,14.32,Sphagno-Betuletalia,c m,,,
Gaudinia_fragilis,Gaudinia,Gaudinia fragilis,0,1,2597,Gaudinia fragilis,Poaceae,181300,139.34.1,2732,245,2284,ZDSF,5,I,3,I,5,I,3.5,I,3,4,I,3,I,,,3,I,1,I,t,s w,NA,-,rrr,Me,Kv,zw,,05-juin,5 6,2,an,2,,1,e,C2,2.1 2.2 6.2 6.3,6,A,5,,CR,RE,RE,-,CR,CR,CR,CR,RE,CR,CR,-,-,-,-,-,11.24,NA,,NA,,11.24,Arrhenatheretalia elatioris,,,,
Gentiana_cruciata,Gentiana,Gentiana cruciata,0,1,2624,Gentiana cruciata,Gentianaceae,183600,98.4.10,1513,2369,1288,ZDSF,3,II,4,II,3,II,1.5,I,2,4,I,2,I,,,3,I,1,I,h,w,NA,Rh,crs,Bo En,Sr,zw,p3,07-sept,7 8 9,3,me,2,,2,,B6,6.2 6.7 9.1 9.2,6,I,2,,VU,VU,VU,EN,EN,CR,EN,VU,VU,VU,VU,VU,EN,EN,-,RE,9.1 9.115,9.1,Festuco-Brometea,9.115,Cirsio-Brachypodion,,,,,,
Gentiana_tenella,Gentiana,Gentiana tenella,0,1,2654,Gentiana tenella,Gentianaceae,185200,98.4.27,1528,2384,1300,ZDSF,1,I,3,I,4,I,3,I,2,3,I,4,I,,,3,I,1,I,t,w,NA,Rh,crs,Bo,Kv,zw,p2,07-sept,7 8 9,3,au,2,,1,,B5,2.4 3.2 3.3 6.5,2,I,1,=,LC,-,-,-,-,-,-,NT,NT,NT,LC,LC,NT,NT,NT,NT,10.311,10.311,Oxytropido-Elynion,NA,,,,,,,
Gentiana_utriculosa,Gentiana,Gentiana utriculosa,0,1,2655,Gentiana utriculosa,Gentianaceae,185300,98.4.26,1525,2381,1299,ZDSF,2.5,II,3,I,4,I,4,I,3,4,I,2,I,,,5,I,1,I,t,s,NA,-,crs,Bo,Kv,zw,,05-ao_t,5 6 7 8,4,en,1,,1,,E4,4.1 5.1 6.3 6.5,5,I,2,*,LC,-,-,-,EN,RE,EN,VU,EN,VU,NT,LC,LC,LC,NT,DD,7.231 11.231 10.211,7.231,Caricion davallianae,11.231,Molinion,10.211,Seslerion caeruleae,,,,
Geranium_rivulare,Geranium,Geranium rivulare,1,0,2694,Geranium rivulare,Geraniaceae,188700,93.1.6,1383,1899,934,ZDSF,2,I,3,I,3,I,3,I,2,2,I,3,I,,,3,I,1,I,h,s,NA,Rh,ccs,Au En,Sr,ve-di,,06-ao_t,6 7 8,3,my hm ps,2,,2,e,F5,3.3 7.1 7.2 9.1,2,I,2,=,LC,-,-,-,-,-,-,CR,RE,CR,LC,VU,-,-,-,-,11.512,11.512,Calamagrostion villosae,NA,,,,,,,
Gladiolus_communis,Gladiolus,Gladiolus communis,0,1,2706,Gladiolus communis,Iridaceae,189800,145.5.2,2920,-,2131,ZDSF,4.5,I,3,I,4,I,2.5,I,3,3,I,2,I,,,5,I,1,I,g,s,NA,Sk,crs,Bo,Kv,zw,,5,5,1,,1,,2,h,D2,2.1 6.2 7.3 7.4,5,Jn,2,,CR,RE,RE,-,CR,RE,CR,CR,RE,CR,-,-,-,-,-,-,9.221,NA,,NA,,9.221,Brachypodion phoenicoidis,,,,
Gladiolus_illyricus,Gladiolus,Gladiolus illyricus,0,1,2707,Gladiolus illyricus,Iridaceae,-,145.5.1,-,-,-,,3.5,I,4,I,3,II,2.5,II,2,3,I,2,I,,,3,I,1,II,g,s,NA,Sk,crs,Bo,Kv,zw,,05-juin,5 6,2,,1,,2,,D1b,6.2 6.3 9.1,-,I,2,,,,,,,,,,,,,,,,,,11.23,NA,,NA,,11.23,Molinietalia caeruleae,c k m,,,
Gladiolus_imbricatus,Gladiolus,Gladiolus imbricatus,0,1,2708,Gladiolus imbricatus,Iridaceae,189900,145.5.4,2919,716,2133,ZDSF,4.5,I,4,I,3,I,2.5,I,3,4,I,2,I,,,5,I,1,I,g,s,NA,Sk,crs,Bo,Kv,zw,,7,7,1,,1,,2,,D1b,6.2 6.3 7.4 9.2,6,I,2,,EN,-,-,-,-,-,-,-,-,-,-,-,EN,EN,-,-,11.231,NA,,NA,,11.231,Molinion,,,,
Gladiolus_palustris,Gladiolus,Gladiolus palustris,0,1,2710,Gladiolus palustris,Iridaceae,190100,145.5.3,2918,715,2132,ZDSF,3.5,I,3,I,4,I,4,II,3,4,I,3,I,,,5,I,1,I,g,s,NA,Sk,crs,Bo,Kv,zw,,06-juil,6 7,2,,1,,2,h,D3,2.6 5.1 6.2 6.3,5,I,2,,EN*,-,-,-,EN,EN,EN,EN,EN,EN,RE,CR,RE,RE,-,-,11.231,11.231,Molinion,NA,,,,,,,
Glyceria_declinata,Glyceria,Glyceria declinata,0,1,2729,Glyceria declinata,Poaceae,191400,139.20.3,2643,-,2245,ZDSF,4,I,2,I,3,I,4.5,I,3,2,II,4,I,,,3,I,1,I,a-g,w,NA,Rs,crs,Me Hy,Ho,zw,,06-sept,6 7 8 9,4,an,3,,2,e,D2,1.4 2.5 4.2 6.3,4,I,2,#REF!,EN,CR,CR,-,-,-,-,EN,EN,CR,-,-,-,-,-,-,11.21,NA,,NA,,11.21,Potentillo-Polygonetalia,,,,
Glyceria_striata,Glyceria,Glyceria striata,0,1,2733,Glyceria striata,Poaceae,191900,139.20.2,2645,302,-,ZDSF,3.5,I,2,I,3,II,4.5,II,3,2,II,4,II,,,3,I,1,I,g,w,NA,Rs,css,Me Hy,Au Ho,zw,,06-juil,6 7,2,an,2,,4,,A2,1.3 5.1 6.3,5,Nw,2,<,(EN),-,-,-,(DD),-,(DD),(EN),-,(EN),-,-,-,-,-,-,11.212,NA,,NA,,11.212,Potentillion anserinae,,250,,
Glycyrrhiza_glabra,Glycyrrhiza,Glycyrrhiza glabra,0,1,2735,Glycyrrhiza glabra,Fabaceae,192100,64.19.1,-,1771,-,ZDSF,5,I,4,I,3,I,4,I,3,4,I,3,I,,,3,I,1,I,h,s,NA,Rs,ccs,At,Sr,zw,,06-juil,6 7,2,??,-,,1,mg h,B6a,2.2 6.2 7.2 7.4,7,A,5,,DD,-,-,-,-,-,-,-,-,-,DD,-,-,-,-,-,11.311,NA,,NA,,11.311,Convolvulion sepium,,,,
Gnaphalium_luteoalbum,Gnaphalium,Gnaphalium luteoalbum,0,1,2736,Gnaphalium luteoalbum,Asteraceae,192300,124.10.6,2072,3052,1754,ZDSF,4.5,I,2,I,4,I,4,I,3,3,I,3,I,,m,3,I,1,I,t,s,NA,-,rrr,Me My,Kv,ve,,07-sept,7 8 9,3,my me hm,-,,1,,B6a,1.4 2.1 2.6,7,I,3,,VU,RE,RE,-,CR,CR,RE,RE,RE,RE,VU,RE,VU,VU,RE,RE,2.2,NA,,NA,,2.2,Iso�to-Nanojuncetea,,,,
Gnaphalium_norvegicum,Gnaphalium,Gnaphalium norvegicum,0,1,2741,Gnaphalium norvegicum,Asteraceae,192400,124.10.2,2070,3056,1750,ZDSF,2,I,2,I,3,I,3,I,1,2,I,2,I,,,5,I,1,I,h-k,w,NA,Rh,crs,Me My,Kv,ve,p2,07-ao_t,7 8,2,,2,,2,h,B3a,2.6 6.5 7.1 9.1,1,I,2,=,LC,-,-,-,-,-,-,LC,LC,LC,LC,LC,LC,LC,LC,LC,10.212 10.412 11.512,10.212,Caricion ferrugineae,10.412,Nardion strictae,11.512,Calamagrostion villosae,,,,
Gnaphalium_supinum,Gnaphalium,Gnaphalium supinum,0,1,2739,Gnaphalium supinum,Asteraceae,192500,124.10.4,2073,3053,1752,ZDSF,1,I,2,I,5,I,4,I,1,2,I,2,I,,,3,II,1,I,h,w,NA,Rh,css,Me,Sr,ve,d,07-ao_t,7 8,2,,-,,2,h,B5b,3.2 3.3 6.5 6.6,2,I,1,=,LC,-,-,-,-,-,-,LC,LC,LC,LC,LC,LC,LC,LC,LC,8.111,8.111,Salicion herbaceae,NA,,,,,,,
Gratiola_officinalis,Gratiola,Gratiola officinalis,0,1,2747,Gratiola officinalis,Scrophulariaceae,193000,114.1.1,1769,2601,1455,ZDSF,4,II,4,I,3,I,4.5,I,3,4,I,3,I,s,,3,II,1,I,g,w,NA,Rs,crs,Hy,Au,zw,d,07-ao_t,7 8,2,me,3,,3,gg h,B6a,1.3 1.4 5.1 6.3,5,I,1,,VU,RE,RE,-,EN,CR,EN,RE,RE,RE,RE,RE,VU,VU,-,-,11.232,NA,,NA,,11.232,Deschampsion cespitosae,,,,
Groenlandia_densa,Groenlandia,Groenlandia densa,0,1,2748,Groenlandia densa,Potamogetonaceae,193100,130.2.1,2393,124,2051,ZDSF,3.5,I,2,I,4,I,5,I,1,4,I,3,II,s,,3,II,1,I,a,t,NA,Rs,sss,Hy,Au,zw,,06-ao_t,6 7 8,3,an au hd,-,,3,,B6a,1.1 1.2 1.3,4,I,1,,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,EN,NT,VU,RE,VU,RE,1.311 1.313,1.311,Potamion pectinati,1.313,Batrachion fluitantis,,,,,,
Hedysarum_coronarium,Hedysarum,Hedysarum coronarium,0,1,2766,Hedysarum coronarium,Fabaceae,-,64.41.1,-,-,-,,4.5,I,3,I,4,I,2,II,2,4,I,3,I,s,,3,I,1,II,h,s,NA,Rh,ccs,Me Ep,Sr,zw,,04-juil,4 5 6 7,4,me,-,,2,,C2a,2.2 2.9 6.3,-,I/N,3,=,,,,,,,,,,,,,,,,,2.3,NA,,NA,,2.3,Stellarietea mediae,k m,,,
Helianthus_tuberosus,Helianthus,Helianthus tuberosus,0,1,2793,Helianthus tuberosus,Asteraceae,196100,-,2094,3113,-,ZDSF,4.5,I,3,I,3,II,3.5,I,2,3,I,4,I,,,3,I,1,I,g,s,NA,Rk,ccs,Dy,Au,zw,,08-nov,8 9 10 11,4,en,3,,4,e,A2c,2.1 2.5 2.9 7.2,7,N,4,=,(LC),(DD),(DD),(DD),(DD),(DD),(DD),(DD),(DD),(DD),(DD),(DD),(LC),(LC),(DD),(DD),11.311,NA,,NA,,11.311,Convolvulion sepium,,,,
Hemerocallis_fulva,Hemerocallis,Hemerocallis fulva,0,1,2828,Hemerocallis fulva,Liliaceae,197700,143.7.2,2835,634,2064,ZDSF,4,I,2,I,3,I,3.5,I,2,3,I,4,I,,,3,I,1,I,g,s,NA,Wd,ccs,At En,Sr,zw,,06-ao_t,6 7 8,3,ps of,-,,3,tg e,A4b,2.2 2.5 2.9 6.3,7,N,3,<,(LC),(NT),(NT),-,(NT),(NT),(NT),(NT),(NT),(NT),(NT),(NT),(LC),(LC),(VU),-,?,NA,,NA,,?,,,,H,
Hemerocallis_lilio_asphodelus,Hemerocallis,Hemerocallis lilio asphodelus,1,0,2829,Hemerocallis lilio-asphodelus,Liliaceae,197800,143.7.1,2836,633,-,ZDSF,4.5,I,2,I,3,I,3.5,I,2,3,I,3,I,,,3,I,1,I,g,s,NA,Wd,ccs,At,Sr,zw,,6,6,1,le?,-,,3,tg e,F4,2.5 2.9 6.3 9.2,1,I/N,4,=,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,14.732,NA,,NA,,14.732,Aremonio-Fagion,,,H,
Heracleum_austriacum,Heracleum,Heracleum austriacum,1,0,2832,Heracleum austriacum,Apiaceae,198200,97.56.2.1,1493,2206,1189,ZDSF,2.5,I,2,I,3,I,3.5,I,1,4,I,3,I,,,3,I,1,I,h,s,NA,Wv,crs,Me En,Sr,ve,,07-sept,7 8 9,3,,2,,2,mg,F7,6.5 7.2 8.1 9.1,2,I,1,=,VU,-,-,-,-,-,-,VU,VU,-,-,-,-,-,-,-,10.212,NA,,NA,,10.212,Caricion ferrugineae,,,,
Herminium_monorchis,Herminium,Herminium monorchis,0,1,2842,Herminium monorchis,Orchidaceae,199100,148.10.1,2963,746,2532,ZDSF,3,I,3,I,4,I,3.5,I,3,4,I,2,I,,,5,I,1,I,g,s,NA,Wk,crs,Me,Au,zw,,06-juil,6 7,2,hm my ca,1,,1,,B3,4.1 5.1 6.2 6.3,2,I,2,*,NT,EN,EN,RE,EN,CR,EN,NT,VU,NT,VU,VU,EN,EN,RE,EN,11.231,11.231,Molinion,NA,,,,,,,
Hesperis_inodora,Hesperis,Hesperis inodora,1,0,2850,Hesperis inodora,Brassicaceae,-,54.12.5,-,-,-,,3,I,3,I,3,I,3,I,1,3,I,4,I,,,5,I,1,I,k-t,t,NA,Wv,ccs,Bo,Kv,zw,,05-juil,5 6 7,3,,2,,2,e,F2a*,2.3 2.6 6.7 7.4,-,I,2,=,,,,,,,,,,,,,,,,,5.132,NA,,NA,,5.132,Aegopodion podagrariae,m,,,
Hieracium_caespitosum,Hieracium,Hieracium caespitosum,0,1,2876,Hieracium caespitosum,Asteraceae,200800,124.99.13,2356,3331,1995,ZDSF,4.5,II,4,I,3,I,3,I,3,4,I,2,I,,,3,II,1,I,h,w,NA,Rh,crs,Me,Ao Au,oa zw,,06-juil,6 7,2,ap,2,,2,e,B6a,5.1 6.3 7.1 7.4,3,I,2,,EN,EN,EN,EN,EN,-,EN,EN,-,EN,-,-,-,-,-,-,11.23,NA,,NA,,11.23,Molinietalia caeruleae,,,,
Hieracium_lactucella,Hieracium,Hieracium lactucella,0,1,2868,Hieracium lactucella,Asteraceae,202100,124.99.7,2349,3333,1989,ZDSF,3,I,3,I,4,I,3,I,2,2,I,2,I,,,3,I,1,I,h,w,NA,Rh,crs,Me,Ao,oa zw,,05-oct,5 6 7 8 9 10,6,au,3,,3,e,D3,6.2 6.3 6.4 6.5,6,I,3,*,LC,LC,LC,VU,NT,NT,NT,LC,LC,LC,LC,LC,LC,LC,LC,LC,10.4 11.231 11.244,10.4,Juncetea trifidi,11.231,Molinion,11.244,Poion alpinae,,,,
Himantoglossum_hircinum,Himantoglossum,Himantoglossum hircinum,0,1,2927,Himantoglossum hircinum,Orchidaceae,206200,148.22.1,2997,750,2562,ZDSF,4.5,II,3,I,4,I,1.5,I,2,5,I,2,I,,,3,I,1,I,g,w,NA,Wk,crs,Me,Kv,zw,,05-juin,5 6,2,,1,,1,,C2,2.6 6.2 6.7 7.4,6,I,2,,VU,VU,VU,EN,EN,EN,EN,RE,RE,-,CR,-,-,-,-,-,9.135 11.111,9.135,Mesobromion,11.111,Geranion sanguinei,,,,,,
Hottonia_palustris,Hottonia,Hottonia palustris,0,1,2962,Hottonia palustris,Primulaceae,208600,60.5.1,835,2290,1260,ZDSF,4.5,I,3,I,3,II,5,I,3,3,I,3,I,,,5,I,1,I,a,s,NA,Tu,css,Hy,Kt,zw,d,04-juil,4 5 6 7,4,au me my ps ca,-,,3,,B6a,1.1 1.3 9.2,4,I,1,,EN,CR,CR,RE,EN,EN,EN,EN,EN,-,-,-,-,-,-,-,1.312 1.313,1.312,Nymphaeion albae,1.313,Batrachion fluitantis,,,,,,
